2022-12-31,2023-09-30,2023-12-31,2024-09-30
16253000000,15932000000,16398000000,18111000000
,,12696000000,15537000000
,,3508000000,3313000000
,,13626000000,14530000000
,,3388000000,4888000000
,,49616000000,56379000000
,,,
,,,
,,29725000000,36116000000
,,4180000000,4867000000
,,184000000,184000000
,,178000000,158000000
,,253000000,253000000
,,6733000000,6486000000
,,4531000000,4989000000
,,106618000000,119852000000
,,14431000000,14654000000
,,9080000000,10601000000
,,2864000000,3031000000
,,2373000000,2291000000
,,28748000000,30577000000
,,2857000000,5405000000
,,3251000000,3350000000
,,8153000000,9810000000
,,43009000000,49142000000
,,0.0,0.0
,,242000000,70000000
,,0,0
,,3000000,3000000
,,34892000000,37286000000
,,-143000000,-14000000
,,27882000000,32656000000
,,62634000000,69931000000
,,733000000,709000000
,,106618000000,119852000000
