2022-12-31,2023-01-01~2023-09-30,2023-07-01~2023-09-30,2023-09-30,2023-12-31,2024-01-01~2024-09-30,2024-07-01~2024-09-30,2024-09-30
,7031000000,1878000000,,,4821000000,2183000000,
,3435000000,,,,3872000000,,
,1328000000,,,,1420000000,,
,361000000,,,,247000000,,
,317000000,,,,-197000000,,
,-316000000,,,,418000000,,
,-94000000,,,,-83000000,,
,-377000000,,,,-144000000,,
,1953000000,,,,1107000000,,
,1858000000,,,,82000000,,
,1992000000,,,,2639000000,,
,1922000000,,,,2504000000,,
,774000000,,,,231000000,,
,8886000000,,,,10109000000,,
,6592000000,,,,8556000000,,
,0,,,,6000000,,
,13221000000,,,,20797000000,,
,8959000000,,,,17975000000,,
,138000000,,,,200000000,,
,64000000,,,,0,,
,-10780000000,,,,-11184000000,,
,2526000000,,,,4360000000,,
,887000000,,,,1783000000,,
,548000000,,,,788000000,,
,340000000,,,,291000000,,
,23000000,,,,6000000,,
,105000000,,,,76000000,,
,17000000,,,,124000000,,
,1702000000,,,,2868000000,,
,-142000000,,,,-8000000,,
,-334000000,,,,1785000000,,
16924000000,,,16590000000,17189000000,,,18974000000
,1717000000,,,,2727000000,,
,1000000,,,,32000000,,
,1548000000,,,,1232000000,,
