2023-12-31,2024-06-30,2024-12-31,2025-06-30
16398000000,14635000000,16139000000,15587000000
,,20424000000,21195000000
,,4418000000,3838000000
,,12017000000,14570000000
,,5362000000,5943000000
,,58360000000,61133000000
,,,
,,,
,,35836000000,38574000000
,,5160000000,5633000000
,,1076000000,1235000000
,,150000000,138000000
,,244000000,258000000
,6573000000,6524000000,6721000000
,,4215000000,4857000000
,,122070000000,128567000000
,,12474000000,13212000000
,,10723000000,11519000000
,,3168000000,3237000000
,,2456000000,2040000000
,,28821000000,30008000000
,,5757000000,5180000000
,,3317000000,3764000000
,,10495000000,11543000000
,,48390000000,50495000000
,,0.0,0.0
,,63000000,61000000
,,0,0
,,3000000,3000000
,,38371000000,40363000000
,,-670000000,158000000
,30908000000,35209000000,36790000000
,,72913000000,77314000000
,,704000000,697000000
,,122070000000,128567000000
